id,t,lwage,exp,exp2,wks,ed
32,7,7.74066,36,1296,47,16
33,1,6.90575,14,196,51,16
33,2,6.90575,15,225,47,16
33,3,7.17012,16,256,51,16
33,4,7.27932,17,289,47,16
33,5,7.24065,18,324,48,16
33,6,7.37776,19,361,50,16
33,7,7.46737,20,400,49,16
34,1,5.7589,45,2025,48,8
34,2,5.86079,46,2116,48,8
34,3,5.82305,47,2209,48,8
34,4,5.94803,48,2304,49,8
34,5,6.24804,49,2401,50,8
34,6,6.20658,50,2500,48,8
34,7,5.98394,51,2601,46,8
35,1,6.51471,8,64,30,13
35,2,6.6107,9,81,49,13
35,3,6.39693,10,100,48,13
35,4,6.75227,11,121,49,13
35,5,6.88653,12,144,34,13
35,6,7.01212,13,169,48,13
35,7,7.02554,14,196,45,13
36,1,6.62007,15,225,52,10
36,2,6.77422,16,256,47,10
36,3,7.1309,17,289,50,10
36,4,7.08841,18,324,50,10
36,5,7.1309,19,361,48,10
36,6,6.90776,20,400,50,10
36,7,7.18007,21,441,41,10
37,1,6.90575,12,144,52,14
37,2,6.7417,13,169,47,14
37,3,7.00307,14,196,50,14
37,4,7.1309,15,225,49,14
37,5,7.14283,16,256,50,14
37,6,7.28276,17,289,48,14
37,7,7.40914,18,324,49,14
38,1,6.05209,10,100,48,12
38,2,6.05209,11,121,49,12
38,3,6.05209,12,144,48,12
38,4,6.36819,13,169,48,12
38,5,6.43615,14,196,49,12
38,6,6.54965,15,225,48,12
38,7,6.52209,16,256,49,12
39,1,6.47697,6,36,47,13
39,2,6.58617,7,49,51,13
39,3,6.47697,8,64,48,13
39,4,6.52942,9,81,50,13
39,5,6.80239,10,100,50,13
39,6,6.77992,11,121,52,13
39,7,6.80793,12,144,51,13
40,1,6.35784,30,900,47,8
40,2,6.49979,31,961,39,8
40,3,6.58203,32,1024,32,8
40,4,6.69456,33,1089,35,8
40,5,6.78784,34,1156,47,8
40,6,6.90776,35,1225,45,8
40,7,7.35819,36,1296,47,8
41,1,6.90575,20,400,50,16
41,2,6.90575,21,441,50,16
41,3,7.37776,22,484,50,16
41,4,7.49109,23,529,50,16
41,5,7.57558,24,576,50,16
41,6,7.52833,25,625,48,16
41,7,7.745,26,676,47,16
42,1,6.2186,30,900,38,12
42,2,6.49375,31,961,41,12
42,3,6.58064,32,1024,51,12
42,4,6.6896,33,1089,50,12
42,5,6.79347,34,1156,42,12
42,6,6.92461,35,1225,50,12
42,7,7.02554,36,1296,49,12
43,1,6.68461,5,25,49,16
43,2,6.84375,6,36,47,16
43,3,6.90776,7,49,48,16
43,4,7.00307,8,64,49,16
43,5,7.1309,9,81,46,16
43,6,7.40853,10,100,45,16
43,7,7.43838,11,121,49,16
44,1,6.90575,7,49,48,17
44,2,6.90575,8,64,48,17
44,3,7.20786,9,81,48,17
44,4,7.31322,10,100,47,17
44,5,7.43838,11,121,46,17
44,6,7.49332,12,144,46,17
44,7,7.6009,13,169,46,17
45,1,6.22456,13,169,49,13
45,2,6.33328,14,196,50,13
45,3,6.30992,15,225,50,13
45,4,6.47697,16,256,50,13
45,5,6.63332,17,289,50,13
45,6,6.68211,18,324,50,13
45,7,6.65286,19,361,49,13
46,1,6.12687,6,36,42,12
46,2,6.23245,7,49,44,12
46,3,6.32615,8,64,48,12
46,4,6.32436,9,81,47,12
46,5,6.4677,10,100,48,12
46,6,6.60665,11,121,47,12
46,7,6.55108,12,144,47,12
47,1,6.90575,26,676,48,14
47,2,6.90575,27,729,49,14
47,3,7.04752,28,784,48,14
47,4,7.09008,29,841,48,14
47,5,7.20786,30,900,48,14
47,6,7.11802,31,961,47,14
47,7,7.09008,32,1024,48,14
48,1,6.90575,26,676,50,16
48,2,6.90575,27,729,50,16
48,3,7.1309,28,784,50,16
48,4,7.22621,29,841,50,16
48,5,7.1309,30,900,48,16
48,6,7.31322,31,961,41,16
48,7,7.43838,32,1024,49,16
49,1,6.90575,31,961,47,16
49,2,6.90575,32,1024,46,16
49,3,7.6009,33,1089,47,16
49,4,7.67601,34,1156,48,16
49,5,7.7021,35,1225,47,16
49,6,7.69621,36,1296,49,16
49,7,7.82084,37,1369,48,16
50,1,6.27099,31,961,50,12
50,2,6.39859,32,1024,45,12
50,3,6.48311,33,1089,43,12
50,4,6.55678,34,1156,48,12
50,5,6.65544,35,1225,46,12
50,6,6.74876,36,1296,32,12
50,7,6.84907,37,1369,28,12
51,1,6.90575,31,961,45,17
51,2,6.90575,32,1024,48,17
51,3,7.6009,33,1089,48,17
51,4,7.64969,34,1156,47,17
51,5,7.82405,35,1225,48,17
51,6,7.86327,36,1296,47,17
51,7,7.91936,37,1369,44,17
52,1,6.90575,25,625,46,16
52,2,6.90575,26,676,49,16
52,3,7.24423,27,729,49,16
52,4,7.1309,28,784,48,16
52,5,7.46737,29,841,48,16
52,6,7.6009,30,900,48,16
52,7,7.64969,31,961,49,16
53,1,6.43615,13,169,47,13
53,2,6.90575,14,196,49,13
53,3,6.95655,15,225,48,13
53,4,6.95655,16,256,49,13
53,5,7.06048,17,289,48,13
53,6,7.20786,18,324,47,13
53,7,7.20786,19,361,48,13
54,1,6.51175,13,169,47,11
54,2,6.5903,14,196,52,11
54,3,6.68461,15,225,51,11
54,4,6.74524,16,256,51,11
54,5,6.8977,17,289,49,11
54,6,7.0775,18,324,49,11
54,7,7.10003,19,361,50,11
55,1,6.65415,32,1024,49,8
55,2,6.85013,33,1089,49,8
55,3,6.85646,34,1156,49,8
55,4,6.92363,35,1225,47,8
55,5,7.04141,36,1296,48,8
55,6,7.1333,37,1369,47,8
55,7,7.20786,38,1444,46,8
56,1,6.10925,23,529,51,12
56,2,6.16331,24,576,49,12
56,3,6.33328,25,625,52,12
56,4,6.33328,26,676,52,12
56,5,6.43775,27,729,48,12
56,6,6.58617,28,784,50,12
56,7,6.53379,29,841,50,12
57,1,6.04025,21,441,47,11
57,2,6.28972,22,484,49,11
57,3,6.01616,23,529,49,11
57,4,6.57786,24,576,49,11
57,5,6.55108,25,625,47,11
57,6,6.53233,26,676,48,11
57,7,6.31355,27,729,48,11
58,1,6.55108,37,1369,49,14
58,2,6.68461,38,1444,48,14
58,3,6.69703,39,1521,40,14
58,4,6.90776,40,1600,48,14
58,5,7.00307,41,1681,48,14
58,6,7.1624,42,1764,48,14
58,7,7.1309,43,1849,48,14
59,1,6.90575,26,676,48,17
59,2,6.90575,27,729,49,17
59,3,7.34601,28,784,48,17
59,4,7.43838,29,841,47,17
59,5,7.48156,30,900,46,17
59,6,7.6009,31,961,48,17
59,7,7.64969,32,1024,46,17
60,1,5.97635,18,324,46,11
60,2,6.04025,19,361,39,11
60,3,6.04025,20,400,44,11
60,4,6.04025,21,441,49,11
60,5,6.1203,22,484,48,11
60,6,6.2186,23,529,47,11
60,7,6.1717,24,576,43,11
61,1,6.78559,24,576,50,17
61,2,6.88857,25,625,51,17
61,3,6.88755,26,676,51,17
61,4,6.96885,27,729,50,17
61,5,6.85646,28,784,22,17
61,6,6.73815,29,841,41,17
61,7,7.1309,30,900,26,17
62,1,6.58064,7,49,50,16
62,2,6.83518,8,64,50,16
62,3,6.91274,9,81,50,16
62,4,6.95845,10,100,50,16
62,5,6.9256,11,121,49,16
62,6,7.23778,12,144,49,16
62,7,7.2724,13,169,49,16
63,1,6.90575,11,121,50,17
63,2,6.90575,12,144,49,17
63,3,7.49554,13,169,50,17
63,4,7.54961,14,196,49,17
63,5,7.52564,15,225,49,17
63,6,7.72886,16,256,48,17
63,7,7.36645,17,289,50,17
64,1,6.35611,34,1156,44,12
64,2,6.42162,35,1225,46,12
64,3,6.47697,36,1296,49,12
64,4,6.53669,37,1369,48,12
64,5,6.55108,38,1444,45,12
64,6,6.68461,39,1521,47,12
64,7,6.80239,40,1600,50,12
65,1,6.55536,30,900,46,8
65,2,6.62274,31,961,44,8
65,3,6.72263,32,1024,45,8
65,4,6.77992,33,1089,46,8
65,5,6.93828,34,1156,36,8
65,6,7.03439,35,1225,45,8
65,7,7.04578,36,1296,45,8
66,1,6.3081,20,400,49,8
66,2,6.39693,21,441,49,8
66,3,6.51767,22,484,47,8
66,4,6.6107,23,529,49,8
66,5,6.68711,24,576,47,8
66,6,6.77079,25,625,44,8
66,7,6.85646,26,676,48,8
67,1,5.96615,28,784,50,12
67,2,6.02828,29,841,50,12
67,3,6.15273,30,900,49,12
67,4,6.21461,31,961,50,12
67,5,6.30992,32,1024,50,12
67,6,6.44572,33,1089,50,12
67,7,6.47697,34,1156,49,12
68,1,6.45834,34,1156,40,12
68,2,6.50728,35,1225,47,12
68,3,6.56808,36,1296,42,12
68,4,6.66823,37,1369,45,12
68,5,6.75577,38,1444,47,12
68,6,6.80239,39,1521,47,12
68,7,6.95655,40,1600,46,12
69,1,6.40523,27,729,49,13
69,2,6.55678,28,784,46,13
69,3,6.62007,29,841,47,13
69,4,6.62007,30,900,47,13
69,5,6.70319,31,961,47,13
69,6,6.83518,32,1024,48,13
69,7,6.93049,33,1089,48,13
70,1,6.47697,8,64,49,16
70,2,6.47697,9,81,48,16
70,3,6.62007,10,100,49,16
70,4,6.80239,11,121,49,16
70,5,6.90776,12,144,48,16
70,6,6.90776,13,169,48,16
70,7,7.17012,14,196,48,16
71,1,6.69703,7,49,48,16
71,2,6.80239,8,64,49,16
71,3,6.8977,9,81,49,16
71,4,6.95655,10,100,48,16
71,5,7.1309,11,121,46,16
71,6,7.24423,12,144,48,16
71,7,7.40184,13,169,48,16
72,1,6.47697,11,121,40,17
72,2,6.62007,12,144,40,17
72,3,6.62007,13,169,42,17
72,4,6.68461,14,196,40,17
72,5,6.85646,15,225,40,17
72,6,6.90776,16,256,40,17
72,7,7.00307,17,289,42,17
73,1,6.46147,13,169,49,16
73,2,6.65544,14,196,49,16
73,3,6.73459,15,225,49,16
73,4,6.81344,16,256,48,16
73,5,6.91473,17,289,47,16
73,6,6.8533,18,324,47,16
73,7,7.11314,19,361,47,16
74,1,5.4161,3,9,51,13
74,2,5.52146,4,16,51,13
74,3,5.59842,5,25,51,13
74,4,5.70378,6,36,45,13
74,5,5.76832,7,49,50,13
74,6,5.8861,8,64,50,13
74,7,5.85793,9,81,52,13
75,1,5.66988,23,529,36,8
75,2,5.99146,24,576,51,8
75,3,6.08677,25,625,51,8
75,4,6.17379,26,676,24,8
75,5,6.25575,27,729,50,8
75,6,6.43775,28,784,51,8
75,7,6.44572,29,841,47,8
76,1,5.16479,9,81,51,13
76,2,5.62762,10,100,47,13
76,3,5.84354,11,121,50,13
76,4,5.96101,12,144,48,13
76,5,6.02828,13,169,47,13
76,6,6.15273,14,196,47,13
76,7,6.24611,15,225,49,13
77,1,5.52146,10,100,48,10
77,2,5.70378,11,121,52,10
77,3,6.20456,12,144,51,10
77,4,6.05912,13,169,50,10
77,5,6.19848,14,196,39,10
77,6,6.16121,15,225,29,10
77,7,6.2804,16,256,39,10
78,1,5.70378,37,1369,44,12
78,2,5.78383,38,1444,52,12
78,3,5.78383,39,1521,46,12
78,4,6.16331,40,1600,48,12
78,5,6.21461,41,1681,49,12
78,6,6.21461,42,1764,50,12
78,7,6.30992,43,1849,50,12
79,1,5.42935,10,100,50,8
79,2,5.47227,11,121,50,8
79,3,5.64545,12,144,50,8
79,4,5.68698,13,169,50,8
79,5,5.85793,14,196,37,8
79,6,5.95324,15,225,50,8
79,7,6.05209,16,256,50,8
80,1,6.74524,5,25,48,17
80,2,6.81674,6,36,50,17
80,3,6.65929,7,49,50,17
80,4,7.09008,8,64,50,17
80,5,7.07918,9,81,50,17
80,6,6.98472,10,100,50,17
80,7,7.26193,11,121,50,17
81,1,6.35437,6,36,46,16
81,2,6.33683,7,49,48,16
81,3,6.43775,8,64,47,16
81,4,6.39693,9,81,49,16
81,5,7.23346,10,100,49,16
81,6,7.35883,11,121,49,16
81,7,7.17319,12,144,50,16
82,1,6.62007,22,484,50,12
82,2,6.66568,23,529,49,12
82,3,6.81454,24,576,44,12
82,4,6.88857,25,625,38,12
82,5,6.9575,26,676,49,12
82,6,6.93342,27,729,50,12
82,7,7.06561,28,784,36,12
83,1,6.12249,12,144,47,12
83,2,6.08904,13,169,46,12
83,3,6.29157,14,196,47,12
83,4,6.39693,15,225,42,12
83,5,6.49072,16,256,48,12
83,6,6.59715,17,289,47,12
83,7,6.56386,18,324,46,12
84,1,6.58617,38,1444,42,17
84,2,6.62007,39,1521,34,17
84,3,6.62007,40,1600,48,17
84,4,6.40192,41,1681,46,17
84,5,6.77422,42,1764,49,17
84,6,6.9256,43,1849,34,17
84,7,6.70073,44,1936,47,17
85,1,6.16331,15,225,51,7
85,2,6.22654,16,256,49,7
85,3,6.32077,17,289,50,7
85,4,6.4552,18,324,50,7
85,5,6.51471,19,361,48,7
85,6,6.62007,20,400,50,7
85,7,6.66823,21,441,49,7
86,1,6.21461,3,9,37,12
86,2,6.71538,4,16,49,12
86,3,6.43775,5,25,38,12
86,4,6.65673,6,36,49,12
86,5,6.65929,7,49,39,12
86,6,6.86485,8,64,51,12
86,7,6.65286,9,81,48,12
87,1,6.54247,12,144,41,14
87,2,6.60259,13,169,49,14
87,3,6.74641,14,196,32,14
87,4,6.86485,15,225,50,14
87,5,6.95845,16,256,46,14
87,6,7.01392,17,289,49,14
87,7,7.11558,18,324,49,14
88,1,6.3699,5,25,49,15
88,2,6.39693,6,36,48,15
88,3,6.55962,7,49,48,15
88,4,6.73102,8,64,48,15
88,5,6.86485,9,81,48,15
88,6,7.15462,10,100,47,15
88,7,7.2724,11,121,49,15
89,1,6.05209,11,121,48,12
89,2,6.02345,12,144,47,12
89,3,6.30992,13,169,50,12
89,4,6.38012,14,196,50,12
89,5,6.65929,15,225,49,12
89,6,6.68461,16,256,49,12
89,7,6.73934,17,289,49,12
90,1,6.21461,1,1,48,12
90,2,6.21461,2,4,48,12
90,3,6.30992,3,9,48,12
90,4,6.39693,4,16,48,12
90,5,6.21461,5,25,47,12
90,6,6.39693,6,36,47,12
90,7,6.65286,7,49,49,12
91,1,6.34388,10,100,39,7
91,2,6.41346,11,121,21,7
91,3,6.72743,12,144,40,7
91,4,6.76504,13,169,50,7
91,5,6.85646,14,196,50,7
91,6,7.00307,15,225,43,7
91,7,7.17012,16,256,42,7
92,1,6.47697,5,25,50,14
92,2,6.58617,6,36,49,14
92,3,6.7334,7,49,45,14
92,4,6.81344,8,64,38,14
92,5,6.9613,9,81,48,14
92,6,6.50279,10,100,17,14
92,7,6.70196,11,121,47,14
93,1,5.99146,33,1089,49,7
93,2,6.17794,34,1156,34,7
93,3,6.17794,35,1225,51,7
93,4,6.39693,36,1296,50,7
93,5,6.50129,37,1369,50,7
93,6,6.60665,38,1444,46,7
93,7,6.90776,39,1521,31,7
94,1,6.79122,11,121,36,17
94,2,6.84588,12,144,36,17
94,3,6.87213,13,169,38,17
94,4,6.95655,14,196,36,17
94,5,7.09672,15,225,38,17
94,6,7.16085,16,256,41,17
94,7,7.16085,17,289,34,17
95,1,6.28413,37,1369,48,8
95,2,6.32794,38,1444,48,8
95,3,6.47697,39,1521,35,8
95,4,6.50429,40,1600,47,8
95,5,6.58755,41,1681,46,8
95,6,6.76504,42,1764,47,8
95,7,6.81014,43,1849,47,8
96,1,6.90575,29,841,50,16
96,2,6.90575,30,900,50,16
96,3,7.34601,31,961,50,16
96,4,7.20786,32,1024,49,16
96,5,7.52294,33,1089,49,16
96,6,7.67601,34,1156,48,16
96,7,7.78322,35,1225,49,16
97,1,6.10925,30,900,39,11
97,2,6.22654,31,961,50,11
97,3,6.31355,32,1024,50,11
97,4,6.41999,33,1089,49,11
97,5,6.51471,34,1156,49,11
97,6,6.62804,35,1225,49,11
97,7,6.83195,36,1296,48,11
98,1,6.72743,16,256,50,17
98,2,6.8977,17,289,52,17
98,3,6.98379,18,324,52,17
98,4,7.07918,19,361,52,17
98,5,7.17012,20,400,50,17
98,6,7.14756,21,441,50,17
98,7,7.36518,22,484,50,17
99,1,5.78074,12,144,49,12
99,2,5.826,13,169,49,12
99,3,5.84644,14,196,50,12
99,4,5.95584,15,225,45,12
99,5,6.06611,16,256,47,12
99,6,6.19032,17,289,45,12
99,7,6.23637,18,324,49,12
100,1,5.99146,8,64,44,11
100,2,6.10925,9,81,51,11
100,3,6.39693,10,100,51,11
100,4,6.39693,11,121,51,11
100,5,6.47697,12,144,50,11
100,6,6.47697,13,169,51,11
100,7,6.55108,14,196,51,11
101,1,6.69703,29,841,47,14
101,2,6.79682,30,900,47,14
101,3,6.89467,31,961,36,14
101,4,6.96885,32,1024,46,14
101,5,6.9256,33,1089,43,14
101,6,7.18007,34,1156,44,14
101,7,7.17242,35,1225,45,14
102,1,6.68461,3,9,50,17
102,2,6.80239,4,16,50,17
102,3,6.90776,5,25,49,17
102,4,7.04752,6,36,48,17
102,5,7.04752,7,49,49,17
102,6,7.31322,8,64,49,17
102,7,7.43838,9,81,49,17
103,1,6.30992,14,196,35,16
103,2,6.58617,15,225,35,16
103,3,6.62007,16,256,44,16
103,4,6.90776,17,289,43,16
103,5,6.96602,18,324,42,16
103,6,7.06902,19,361,42,16
103,7,6.95655,20,400,43,16
104,1,5.73657,17,289,52,7
104,2,5.81413,18,324,51,7
104,3,5.8999,19,361,50,7
104,4,5.94017,20,400,50,7
104,5,6.13123,21,441,50,7
104,6,6.13123,22,484,49,7
104,7,6.10925,23,529,48,7
105,1,6.67203,11,121,49,14
105,2,6.84268,12,144,48,14
105,3,6.84055,13,169,47,14
105,4,6.85646,14,196,48,14
105,5,6.99485,15,225,49,14
105,6,7.05618,16,256,46,14
105,7,7.29709,17,289,47,14
106,1,6.36303,6,36,49,12
106,2,6.47697,7,49,51,12
106,3,6.57228,8,64,50,12
106,4,6.65929,9,81,49,12
106,5,6.80239,10,100,49,12
106,6,6.58893,11,121,48,12
106,7,6.76849,12,144,49,12
107,1,6.90575,31,961,47,12
107,2,6.90575,32,1024,48,12
107,3,7.1309,33,1089,48,12
107,4,7.1309,34,1156,45,12
107,5,7.31322,35,1225,41,12
107,6,7.32975,36,1296,42,12
107,7,7.49554,37,1369,47,12
108,1,6.24611,15,225,31,12
108,2,6.21461,16,256,51,12
108,3,6.47697,17,289,45,12
108,4,6.49677,18,324,49,12
108,5,6.61473,19,361,48,12
108,6,6.74524,20,400,47,12
108,7,7.1309,21,441,45,12
109,1,6.74524,25,625,48,12
109,2,6.81344,26,676,48,12
109,3,6.87213,27,729,48,12
109,4,7.10661,28,784,47,12
109,5,7.24423,29,841,47,12
109,6,7.2998,30,900,47,12
109,7,7.37776,31,961,49,12
110,1,6.50728,37,1369,47,12
110,2,6.55108,38,1444,46,12
110,3,6.8773,39,1521,46,12
110,4,6.55108,40,1600,46,12
110,5,7.04752,41,1681,47,12
110,6,6.83411,42,1764,47,12
110,7,6.74524,43,1849,40,12
111,1,6.10925,6,36,50,13
111,2,6.31355,7,49,49,13
111,3,6.45362,8,64,49,13
111,4,6.68461,9,81,49,13
111,5,6.79122,10,100,51,13
111,6,6.83518,11,121,52,13
111,7,6.96791,12,144,49,13
112,1,6.90575,19,361,49,13
112,2,6.90575,20,400,49,13
112,3,7.1107,21,441,49,13
112,4,7.25134,22,484,48,13
112,5,7.34601,23,529,46,13
112,6,7.34601,24,576,46,13
112,7,7.2998,25,625,48,13
113,1,6.90575,27,729,39,17
113,2,6.90575,28,784,36,17
113,3,7.17012,29,841,50,17
113,4,7.4553,30,900,48,17
113,5,7.56008,31,961,48,17
113,6,7.37212,32,1024,39,17
113,7,7.75577,33,1089,39,17
114,1,6.28972,29,841,50,17
114,2,6.3613,30,900,50,17
114,3,6.43615,31,961,50,17
114,4,6.43455,32,1024,50,17
114,5,6.41182,33,1089,49,17
114,6,6.3699,34,1156,49,17
114,7,6.4677,35,1225,49,17
115,1,6.69456,14,196,49,12
115,2,6.76849,15,225,49,12
115,3,6.90776,16,256,49,12
115,4,7.03966,17,289,49,12
115,5,7.02554,18,324,49,12
115,6,7.22766,19,361,49,12
115,7,7.21229,20,400,48,12
116,1,6.74052,14,196,50,14
116,2,6.82979,15,225,50,14
116,3,6.80239,16,256,49,14
116,4,6.94698,17,289,48,14
116,5,7.01031,18,324,50,14
116,6,7.13569,19,361,49,14
